sentence,correct,wrong,sin s,plu s,structure,prediction,accuracy,correct_prob,wrong_prob,top predict,top 5 predict,top 5 prob,top is correct,top is wrong,correct in top 5,wrong in top 5
The scientist who is conducting experiments in several institutions [MASK] awarded a prestigious prize.,is,are,1,0,ving/p.p.,correct,1,tensor(0.9073),tensor(0.0086),is,"['is', 'was', 'gets', 'are', 'has']","[tensor(0.9073), tensor(0.0444), tensor(0.0323), tensor(0.0086), tensor(0.0020)]",1,0,1,1
The scientists who are conducting experiments in a institution [MASK] awarded a prestigious prize.,are,is,0,1,ving/p.p.,correct,1,tensor(0.9118),tensor(0.0466),are,"['are', 'is', 'get', 'were', 'gets']","[tensor(0.9118), tensor(0.0466), tensor(0.0200), tensor(0.0110), tensor(0.0030)]",1,0,1,1
The bartender who is mixing cocktails for the patrons [MASK] near the bar counter.,is,are,1,0,ving/prep.,correct,1,tensor(0.4306),tensor(0.0012),is,"['is', 'stands', 'sits', 'stops', 'appears']","[tensor(0.4306), tensor(0.2168), tensor(0.1240), tensor(0.0535), tensor(0.0346)]",1,0,1,0
The bartenders who are mixing cocktails for a patron [MASK] near the bar counter.,are,is,0,1,ving/prep.,correct,1,tensor(0.3050),tensor(0.0047),are,"['are', 'stand', 'sit', 'wait', 'stop']","[tensor(0.3050), tensor(0.2789), tensor(0.0811), tensor(0.0469), tensor(0.0460)]",1,0,1,0
The man who is brewing coffee for his colleagues [MASK] about the stock market.,talks,talk,1,0,ving/v,correct,1,tensor(0.4117),tensor(0.0021),talks,"['talks', 'learns', 'knows', 'asks', 'wonders']","[tensor(0.4117), tensor(0.1240), tensor(0.0944), tensor(0.0644), tensor(0.0313)]",1,0,1,0
The men who are brewing coffee for a colleague [MASK] about the stock market.,talk,talks,0,1,ving/v,correct,1,tensor(0.5631),tensor(0.0047),talk,"['talk', 'learn', 'know', 'ask', 'hear']","[tensor(0.5631), tensor(0.0709), tensor(0.0637), tensor(0.0437), tensor(0.0357)]",1,0,1,0
The politician who is accused of several crimes [MASK] on the news.,is,are,1,0,p.p./prep.,correct,1,tensor(0.4303),tensor(0.0050),is,"['is', 'appears', 'was', 'goes', 'appeared']","[tensor(0.4303), tensor(0.1270), tensor(0.0968), tensor(0.0539), tensor(0.0442)]",1,0,1,0
The politicians who are accused of a crime [MASK] on the news.,are,is,0,1,p.p./prep.,correct,1,tensor(0.6017),tensor(0.0104),are,"['are', 'go', 'appear', 'were', 'get']","[tensor(0.6017), tensor(0.0703), tensor(0.0508), tensor(0.0395), tensor(0.0323)]",1,0,1,0
The shoplifter who is caught by police officers [MASK] at the crowd.,yells,yell,1,0,p.p./v,correct,1,tensor(0.1356),tensor(0.0004),shouts,"['shouts', 'yells', 'shoots', 'screams', 'looks']","[tensor(0.1370), tensor(0.1356), tensor(0.1030), tensor(0.0883), tensor(0.0832)]",0,0,1,0
The shoplifters who are caught by the police [MASK] at the crowd.,yell,yells,0,1,p.p./v,correct,1,tensor(0.0348),tensor(0.0022),shoot,"['shoot', 'look', 'wave', 'laugh', 'shout']","[tensor(0.1527), tensor(0.0903), tensor(0.0806), tensor(0.0542), tensor(0.0488)]",0,0,0,0
The chef who is near the journalists [MASK] deliciously.,cooks,cook,1,0,prep./v,wrong,0,tensor(1.1706e-05),tensor(9.9227e-05),smiles,"['smiles', 'laughs', 'eats', 'grins', 'smells']","[tensor(0.4019), tensor(0.1235), tensor(0.0974), tensor(0.0491), tensor(0.0349)]",0,0,0,0
The chefs who are near the journalist [MASK] deliciously.,cook,cooks,0,1,prep./v,correct,1,tensor(0.0169),tensor(8.0482e-06),eat,"['eat', 'laugh', 'smile', 'chuckle', 'sigh']","[tensor(0.1933), tensor(0.1533), tensor(0.1418), tensor(0.0358), tensor(0.0254)]",0,0,0,0
The man who is fixing the car for neighbors [MASK] an engineer.,is,are,1,0,ving/N,correct,1,tensor(0.9570),tensor(0.0004),is,"['is', 'was', 'becomes', ',', 'has']","[tensor(0.9570), tensor(0.0207), tensor(0.0037), tensor(0.0024), tensor(0.0016)]",1,0,1,0
The men who are fixing the car for their neighbor [MASK] an engineers.,are,is,0,1,ving/N,correct,1,tensor(0.7545),tensor(0.0086),are,"['are', 'hire', 'have', 'were', 'become']","[tensor(0.7545), tensor(0.0300), tensor(0.0283), tensor(0.0125), tensor(0.0087)]",1,0,1,0
The musician who is celebrated by audiences [MASK] a virtuoso.,is,are,1,0,p.p./N,correct,1,tensor(0.1766),tensor(0.0001),as,"['as', 'is', 'becomes', 'was', ',']","[tensor(0.8075), tensor(0.1766), tensor(0.0027), tensor(0.0018), tensor(0.0014)]",0,0,1,0
The musicians who are celebrated by the audience [MASK] virtuosos.,are,is,0,1,p.p./N,correct,1,tensor(0.9666),tensor(0.0020),are,"['are', 'were', 'include', 'is', 'become']","[tensor(0.9666), tensor(0.0104), tensor(0.0082), tensor(0.0020), tensor(0.0018)]",1,0,1,1
The researcher who is making headlines [MASK] a Nobel laureate.,is,are,1,0,prep./N,correct,1,tensor(0.9312),tensor(0.0002),is,"['is', 'becomes', 'was', 'as', 'and']","[tensor(0.9312), tensor(0.0244), tensor(0.0179), tensor(0.0060), tensor(0.0029)]",1,0,1,0
The researchers who are making the headline [MASK] Nobel laureates.,are,is,0,1,prep./N,correct,1,tensor(0.9179),tensor(0.0010),are,"['are', 'were', 'include', 'have', 'become']","[tensor(0.9179), tensor(0.0353), tensor(0.0191), tensor(0.0039), tensor(0.0013)]",1,0,1,0
The student who forgets the assignments [MASK] a procrastinator.,is,are,1,0,v/N,correct,1,tensor(0.6042),tensor(0.0005),is,"['is', 'becomes', 'became', 'was', 'has']","[tensor(0.6042), tensor(0.3596), tensor(0.0065), tensor(0.0050), tensor(0.0024)]",1,0,1,0
The students who forget the assignment [MASK] procrastinators.,are,is,0,1,v/N,correct,1,tensor(0.5192),tensor(0.0009),are,"['are', 'become', 'became', 'were', 'remain']","[tensor(0.5192), tensor(0.4310), tensor(0.0132), tensor(0.0071), tensor(0.0033)]",1,0,1,0
The artist who is painting portraits for people [MASK] talented.,is,are,1,0,ving/adj,correct,1,tensor(0.6036),tensor(0.0211),is,"['is', 'very', 'more', 'most', 'are']","[tensor(0.6036), tensor(0.1129), tensor(0.0243), tensor(0.0240), tensor(0.0211)]",1,0,1,1
The artists who are painting a portrait for the person [MASK] talented.,are,is,0,1,ving/adj,correct,1,tensor(0.8416),tensor(0.0700),are,"['are', 'is', 'most', 'become', 'being']","[tensor(0.8416), tensor(0.0700), tensor(0.0114), tensor(0.0100), tensor(0.0049)]",1,0,1,1
The director who is reviewed by critics [MASK] mediocre.,is,are,1,0,p.p./adj,correct,1,tensor(0.7689),tensor(0.0013),is,"['is', 'as', 'was', 'feels', 'are']","[tensor(0.7689), tensor(0.1371), tensor(0.0761), tensor(0.0019), tensor(0.0013)]",1,0,1,1
