sentence,correct,wrong,sin s,plu s,prediction,accuracy,correct_prob,wrong_prob,top predict,top 5 predict,top 5 prob,top is correct,top is wrong,correct in top 5,wrong in top 5
"The teacher who is preparing the cookies for the children, who are orphans, [MASK] annoyed by the children.",is,are,1,0,correct,1,tensor(0.6411),tensor(0.0034),is,"['is', 'gets', 'becomes', 'was', 'seems']","[tensor(0.6411), tensor(0.2004), tensor(0.1200), tensor(0.0108), tensor(0.0046)]",1,0,1,0
"The cats which are locked in a cage, which is occupying a room, [MASK] from Egypt.",are,is,0,1,correct,1,tensor(0.1716),tensor(0.0027),come,"['come', 'came', 'are', 'originate', 'originated']","[tensor(0.4992), tensor(0.1959), tensor(0.1716), tensor(0.0499), tensor(0.0170)]",0,0,1,0
"The father who is next to the chairs, which are broken by his dogs, [MASK] tired.",is,are,1,0,correct,1,tensor(0.6968),tensor(0.0034),is,"['is', 'becomes', 'gets', 'grows', 'looks']","[tensor(0.6968), tensor(0.0742), tensor(0.0509), tensor(0.0456), tensor(0.0295)]",1,0,1,0
"The building which is under bridges, which are blocking rains, [MASK] the future presidential office.",is,are,1,0,correct,1,tensor(0.6370),tensor(0.0008),is,"['is', 'houses', 'was', 'contains', 'housed']","[tensor(0.6370), tensor(0.1610), tensor(0.0451), tensor(0.0175), tensor(0.0151)]",1,0,1,0
"The men who run straight forward to a gym, which is owned by one of them, [MASK] athlethes.",are,is,0,1,correct,1,tensor(0.8081),tensor(0.0019),are,"['are', 'have', 'become', 'the', 'were']","[tensor(0.8081), tensor(0.0268), tensor(0.0231), tensor(0.0156), tensor(0.0091)]",1,0,1,0
"The animals which are sleeping in the park, which is marked as a wild terrotory, [MASK] ferious.",are,is,0,1,correct,1,tensor(0.8981),tensor(0.0172),are,"['are', 'is', 'look', 'seem', 'become']","[tensor(0.8981), tensor(0.0172), tensor(0.0146), tensor(0.0126), tensor(0.0108)]",1,0,1,1
"The hunter who shoots the lions, which are accentally released by the zookeepers, [MASK] tall.",is,are,1,0,correct,1,tensor(0.7512),tensor(0.0075),is,"['is', 'stands', 'grows', 'becomes', 'appears']","[tensor(0.7512), tensor(0.1560), tensor(0.0206), tensor(0.0097), tensor(0.0076)]",1,0,1,0
"The vases which are made by the company, that is in a forest, [MASK] making waves in the market.",are,is,0,1,correct,1,tensor(0.7216),tensor(0.0514),are,"['are', 'started', 'were', 'is', 'start']","[tensor(0.7216), tensor(0.0801), tensor(0.0521), tensor(0.0514), tensor(0.0228)]",1,0,1,1
"The sheep which migrate to another prairie, which is close to a lake, [MASK] enjoying the grass.",are,is,0,1,correct,1,tensor(0.7609),tensor(0.0142),are,"['are', 'enjoy', 'continue', 'start', 'begin']","[tensor(0.7609), tensor(0.0441), tensor(0.0306), tensor(0.0295), tensor(0.0143)]",1,0,1,0
"The doctor who treats these patients, who are in serious injuries, [MASK] awareded a prize.",is,are,1,0,correct,1,tensor(0.6122),tensor(0.0079),is,"['is', 'was', 'has', 'becomes', 'gets']","[tensor(0.6122), tensor(0.1294), tensor(0.0948), tensor(0.0175), tensor(0.0107)]",1,0,1,0
