sentence,correct,wrong,sin s,plu s,structure,prediction,accuracy,correct_prob,wrong_prob,top predict,top 5 predict,top 5 prob,top is correct,top is wrong,correct in top 5,wrong in top 5
The scientist who is conducting experiments in a institution [MASK] awarded a prestigious prize.,is,are,1,0,ving/p.p.,correct,1,tensor(0.9318),tensor(0.0051),is,"['is', 'gets', 'was', 'are', 'has']","[tensor(0.9318), tensor(0.0376), tensor(0.0207), tensor(0.0051), tensor(0.0013)]",1,0,1,1
The scientists who are conducting experiments in several institutions [MASK] awarded a prestigious prize.,are,is,0,1,ving/p.p.,correct,1,tensor(0.9207),tensor(0.0223),are,"['are', 'were', 'is', 'get', 'was']","[tensor(0.9207), tensor(0.0312), tensor(0.0223), tensor(0.0160), tensor(0.0024)]",1,0,1,1
The bartender who is mixing cocktails for a patron [MASK] near the bar counter.,is,are,1,0,ving/prep.,correct,1,tensor(0.3803),tensor(0.0007),is,"['is', 'stands', 'sits', 'appears', 'stops']","[tensor(0.3803), tensor(0.1945), tensor(0.1282), tensor(0.0767), tensor(0.0620)]",1,0,1,0
The bartenders who are mixing cocktails for the patrons [MASK] near the bar counter.,are,is,0,1,ving/prep.,correct,1,tensor(0.3289),tensor(0.0053),are,"['are', 'stand', 'sit', 'gather', 'wait']","[tensor(0.3289), tensor(0.2906), tensor(0.0865), tensor(0.0412), tensor(0.0385)]",1,0,1,0
The man who is brewing coffee for a colleague [MASK] about the stock market.,talks,talk,1,0,ving/v,correct,1,tensor(0.4002),tensor(0.0016),talks,"['talks', 'asks', 'learns', 'knows', 'speaks']","[tensor(0.4002), tensor(0.1102), tensor(0.1078), tensor(0.0675), tensor(0.0286)]",1,0,1,0
The men who are brewing coffee for his colleagues [MASK] about the stock market.,talk,talks,0,1,ving/v,correct,1,tensor(0.5582),tensor(0.0040),talk,"['talk', 'know', 'learn', 'complain', 'ask']","[tensor(0.5582), tensor(0.0972), tensor(0.0767), tensor(0.0324), tensor(0.0309)]",1,0,1,0
The politician who is accused of a crime [MASK] on the news.,is,are,1,0,p.p./prep.,correct,1,tensor(0.5445),tensor(0.0016),is,"['is', 'appears', 'goes', 'was', 'comes']","[tensor(0.5445), tensor(0.1337), tensor(0.0750), tensor(0.0419), tensor(0.0295)]",1,0,1,0
The politicians who are accused of several crimes [MASK] on the news.,are,is,0,1,p.p./prep.,correct,1,tensor(0.4815),tensor(0.0055),are,"['are', 'were', 'appear', 'go', 'live']","[tensor(0.4815), tensor(0.1050), tensor(0.0638), tensor(0.0579), tensor(0.0382)]",1,0,1,0
The shoplifter who is caught by the police [MASK] at the crowd.,yells,yell,1,0,p.p./v,correct,1,tensor(0.1086),tensor(0.0003),shouts,"['shouts', 'looks', 'yells', 'shoots', 'screams']","[tensor(0.1233), tensor(0.1181), tensor(0.1086), tensor(0.1024), tensor(0.0678)]",0,0,1,0
The shoplifters who are caught by police officers [MASK] at the crowd.,yell,yells,0,1,p.p./v,correct,1,tensor(0.0413),tensor(0.0028),shoot,"['shoot', 'wave', 'look', 'scream', 'shout']","[tensor(0.1751), tensor(0.0759), tensor(0.0750), tensor(0.0534), tensor(0.0490)]",0,0,0,0
