sentence,correct,wrong,sin s,plu s,structure,prediction,accuracy,correct_prob,wrong_prob,top predict,top 5 predict,top 5 prob,top is correct,top is wrong,correct in top 5,wrong in top 5
The scientist who has been conducting experiments in several institutions [MASK] been awarded a prestigious prize.,has,have,1,0,ving/p.p.,correct,1,tensor(0.9830),tensor(0.0074),has,"['has', 'have', 'had', 'is', 'also']","[tensor(0.9830), tensor(0.0074), tensor(0.0044), tensor(0.0027), tensor(0.0003)]",1,0,1,1
The scientists who have been conducting experiments in a institution [MASK] been awarded a prestigious prize.,have,has,0,1,ving/p.p.,correct,1,tensor(0.9558),tensor(0.0220),have,"['have', 'has', 'are', 'had', 'can']","[tensor(0.9558), tensor(0.0220), tensor(0.0098), tensor(0.0019), tensor(0.0011)]",1,0,1,1
The bartender who has been mixing cocktails for the patrons [MASK] been near the bar counter.,has,have,1,0,ving/prep.,correct,1,tensor(0.8664),tensor(0.0025),has,"['has', 'had', 'have', 'is', ',']","[tensor(0.8664), tensor(0.1292), tensor(0.0025), tensor(0.0004), tensor(0.0003)]",1,0,1,1
The bartenders who have been mixing cocktails for a patron [MASK] been near the bar counter.,have,has,0,1,ving/prep.,correct,1,tensor(0.9211),tensor(0.0205),have,"['have', 'had', 'has', ',', 'are']","[tensor(0.9211), tensor(0.0551), tensor(0.0205), tensor(0.0004), tensor(0.0004)]",1,0,1,1
The man who has been brewing coffee for his colleagues [MASK] talked about the stock market.,has,have,1,0,ving/v,correct,1,tensor(0.5040),tensor(0.0030),has,"['has', 'and', ',', 'had', 'just']","[tensor(0.5040), tensor(0.1387), tensor(0.1343), tensor(0.0496), tensor(0.0267)]",1,0,1,0
The men who have been brewing coffee for a colleague [MASK] talked about the stock market.,have,has,0,1,ving/v,correct,1,tensor(0.7517),tensor(0.0183),have,"['have', ',', 'had', 'has', 'just']","[tensor(0.7517), tensor(0.0588), tensor(0.0358), tensor(0.0183), tensor(0.0178)]",1,0,1,1
The politician who has been accused of several crimes [MASK] been on the news.,has,have,1,0,p.p./prep.,correct,1,tensor(0.9514),tensor(0.0126),has,"['has', 'had', 'have', 'is', 'also']","[tensor(0.9514), tensor(0.0324), tensor(0.0126), tensor(0.0007), tensor(0.0007)]",1,0,1,1
The politicians who have been accused of a crime [MASK] been on the news.,have,has,0,1,p.p./prep.,correct,1,tensor(0.9232),tensor(0.0452),have,"['have', 'has', 'had', 'are', ',']","[tensor(0.9232), tensor(0.0452), tensor(0.0262), tensor(0.0008), tensor(0.0004)]",1,0,1,1
The shoplifter who has been caught by police officers [MASK] yelled at the crowd.,has,have,1,0,p.p./v,correct,1,tensor(0.0977),tensor(0.0016),",","[',', 'is', 'has', 'then', 'also']","[tensor(0.3648), tensor(0.1060), tensor(0.0977), tensor(0.0790), tensor(0.0675)]",0,0,1,0
The shoplifters who have been caught by the police [MASK] yelled at the crowd.,have,has,0,1,p.p./v,correct,1,tensor(0.1696),tensor(0.0058),are,"['are', ',', 'have', 'then', 'also']","[tensor(0.2018), tensor(0.1758), tensor(0.1696), tensor(0.0743), tensor(0.0583)]",0,0,1,0
The chef who has been near the journalists [MASK] cooked deliciously.,has,have,1,0,prep./v,correct,1,tensor(0.6930),tensor(0.0079),has,"['has', ',', 'had', 'is', 'also']","[tensor(0.6930), tensor(0.0870), tensor(0.0787), tensor(0.0312), tensor(0.0179)]",1,0,1,0
The chefs who have been near the journalist [MASK] cooked deliciously.,have,has,0,1,prep./v,correct,1,tensor(0.7472),tensor(0.0778),have,"['have', 'has', 'had', ',', 'are']","[tensor(0.7472), tensor(0.0778), tensor(0.0521), tensor(0.0162), tensor(0.0116)]",1,0,1,1
The man who has been fixing the car for neighbors [MASK] been an engineer.,has,have,1,0,ving/N,correct,1,tensor(0.8381),tensor(0.0010),has,"['has', 'had', 'have', ',', 'having']","[tensor(0.8381), tensor(0.1590), tensor(0.0010), tensor(0.0004), tensor(0.0004)]",1,0,1,1
The men who have been fixing the car for their neighbor [MASK] been an engineers.,have,has,0,1,ving/N,correct,1,tensor(0.8878),tensor(0.0423),have,"['have', 'had', 'has', ',', 'having']","[tensor(0.8878), tensor(0.0671), tensor(0.0423), tensor(0.0005), tensor(0.0003)]",1,0,1,1
The musician who has been celebrated by audiences [MASK] been a virtuoso.,has,have,1,0,p.p./N,correct,1,tensor(0.9837),tensor(0.0016),has,"['has', 'had', 'is', 'have', ',']","[tensor(0.9837), tensor(0.0077), tensor(0.0019), tensor(0.0016), tensor(0.0006)]",1,0,1,1
The musicians who have been celebrated by the audience [MASK] been virtuosos.,have,has,0,1,p.p./N,correct,1,tensor(0.9697),tensor(0.0062),have,"['have', 'has', 'had', 'are', 'also']","[tensor(0.9697), tensor(0.0062), tensor(0.0054), tensor(0.0040), tensor(0.0023)]",1,0,1,1
The researcher who has been making headlines [MASK] been a Nobel laureate.,has,have,1,0,prep./N,correct,1,tensor(0.9808),tensor(0.0013),has,"['has', 'had', 'have', 'is', ',']","[tensor(0.9808), tensor(0.0148), tensor(0.0013), tensor(0.0007), tensor(0.0005)]",1,0,1,1
The researchers who have been making the headline [MASK] been Nobel laureates.,have,has,0,1,prep./N,correct,1,tensor(0.9912),tensor(0.0021),have,"['have', 'had', 'has', 'are', 'also']","[tensor(0.9912), tensor(0.0056), tensor(0.0021), tensor(0.0001), tensor(9.3700e-05)]",1,0,1,1
The student who has forgotten the assignments [MASK] been a procrastinator.,has,have,1,0,v/N,correct,1,tensor(0.9388),tensor(0.0009),has,"['has', 'had', 'have', ',', 'having']","[tensor(0.9388), tensor(0.0565), tensor(0.0009), tensor(0.0007), tensor(0.0004)]",1,0,1,1
The students who have forgotten the assignment [MASK] been procrastinators.,have,has,0,1,v/N,correct,1,tensor(0.9725),tensor(0.0051),have,"['have', 'had', 'has', ',', 'are']","[tensor(0.9725), tensor(0.0173), tensor(0.0051), tensor(0.0008), tensor(0.0005)]",1,0,1,1
The artist who has been painting portraits for people [MASK] been talented.,has,have,1,0,ving/adj,correct,1,tensor(0.9710),tensor(0.0075),has,"['has', 'had', 'have', 'is', 'also']","[tensor(0.9710), tensor(0.0135), tensor(0.0075), tensor(0.0030), tensor(0.0007)]",1,0,1,1
The artists who have been painting a portrait for the person [MASK] been talented.,have,has,0,1,ving/adj,correct,1,tensor(0.9364),tensor(0.0448),have,"['have', 'has', 'had', 'are', 'also']","[tensor(0.9364), tensor(0.0448), tensor(0.0091), tensor(0.0023), tensor(0.0013)]",1,0,1,1
