sentence,correct,wrong,sin s,plu s,prediction,accuracy,correct_prob,wrong_prob,top predict,top 5 predict,top 5 prob,top is correct,top is wrong,correct in top 5,wrong in top 5
"The teacher who has been preparing the cookies for the children, who have been orphans, [MASK] been annoyed by the children.",has,have,1,0,correct,1,tensor(0.9653),tensor(0.0047),has,"['has', 'had', 'have', 'is', 'also']","[tensor(0.9653), tensor(0.0280), tensor(0.0047), tensor(0.0006), tensor(0.0003)]",1,0,1,1
"The cats which have been locked in a cage, which has been occupying a room, [MASK] been from Egypt.",have,has,0,1,correct,1,tensor(0.9150),tensor(0.0085),have,"['have', 'had', 'has', 'are', 'having']","[tensor(0.9150), tensor(0.0729), tensor(0.0085), tensor(0.0009), tensor(0.0005)]",1,0,1,1
"The father who has been next to the chairs, which have been broken by his dogs, [MASK] been tired.",has,have,1,0,correct,1,tensor(0.9456),tensor(0.0029),has,"['has', 'had', 'have', 'having', 'Has']","[tensor(0.9456), tensor(0.0495), tensor(0.0029), tensor(0.0004), tensor(0.0002)]",1,0,1,1
"The building which has been under bridges, which have been blocking rains, [MASK] been the future presidential office.",has,have,1,0,correct,1,tensor(0.9282),tensor(0.0041),has,"['has', 'had', 'will', 'would', 'have']","[tensor(0.9282), tensor(0.0499), tensor(0.0046), tensor(0.0041), tensor(0.0041)]",1,0,1,1
"The men who have run straight forward to a gym, which has been owned by one of them, [MASK] been athlethes.",have,has,0,1,correct,1,tensor(0.9746),tensor(0.0082),have,"['have', 'had', 'has', 'having', 'are']","[tensor(0.9746), tensor(0.0152), tensor(0.0082), tensor(0.0004), tensor(0.0003)]",1,0,1,1
"The animals which have been sleeping in the park, which has been marked as a wild terrotory, [MASK] been ferious.",have,has,0,1,correct,1,tensor(0.9455),tensor(0.0456),have,"['have', 'has', 'had', 'are', 'also']","[tensor(0.9455), tensor(0.0456), tensor(0.0068), tensor(0.0003), tensor(0.0003)]",1,0,1,1
"The hunter who has shot the lions, which have been accentally released by the zookeepers, [MASK] been tall.",has,have,1,0,correct,1,tensor(0.9296),tensor(0.0111),has,"['has', 'had', 'have', 'must', 'also']","[tensor(0.9296), tensor(0.0557), tensor(0.0111), tensor(0.0004), tensor(0.0004)]",1,0,1,1
"The vases which have been made by the company, that has been in a forest, [MASK] been making waves in the market.",have,has,0,1,correct,1,tensor(0.8764),tensor(0.1085),have,"['have', 'has', 'had', 'are', 'also']","[tensor(0.8764), tensor(0.1085), tensor(0.0107), tensor(0.0016), tensor(0.0003)]",1,0,1,1
"The sheep which have migrated to another prairie, which has been close to a lake, [MASK] been enjoying the grass.",have,has,0,1,correct,1,tensor(0.9468),tensor(0.0315),have,"['have', 'has', 'had', 'are', 'and']","[tensor(0.9468), tensor(0.0315), tensor(0.0165), tensor(0.0023), tensor(0.0003)]",1,0,1,1
"The doctor who has treated these patients, who have been in serious injuries, [MASK] been awareded a prize.",has,have,1,0,correct,1,tensor(0.9421),tensor(0.0083),has,"['has', 'had', 'have', 'is', 'was']","[tensor(0.9421), tensor(0.0411), tensor(0.0083), tensor(0.0036), tensor(0.0005)]",1,0,1,1
