sentence,correct,wrong,sin s,plu s,prediction,accuracy,correct_prob,wrong_prob,top predict,top 5 predict,top 5 prob,top is correct,top is wrong,correct in top 5,wrong in top 5
"The teacher who was preparing the cookies for the children, who were orphans, [MASK] annoyed by the children.",was,were,1,0,correct,1,tensor(0.7100),tensor(0.0037),was,"['was', 'became', 'got', 'is', 'gets']","[tensor(0.7100), tensor(0.1121), tensor(0.0694), tensor(0.0465), tensor(0.0126)]",1,0,1,0
"The cats which were locked in a cage, which was occupying a room, [MASK] from Egypt.",were,was,0,1,correct,1,tensor(0.0981),tensor(0.0036),came,"['came', 'were', 'come', 'are', 'arrived']","[tensor(0.7281), tensor(0.0981), tensor(0.0710), tensor(0.0327), tensor(0.0187)]",0,0,1,0
"The father who was next to the chairs, which were broken by his dogs, [MASK] tired.",was,were,1,0,correct,1,tensor(0.2473),tensor(0.0025),looked,"['looked', 'was', 'seemed', 'appeared', 'grew']","[tensor(0.5470), tensor(0.2473), tensor(0.0593), tensor(0.0303), tensor(0.0244)]",0,0,1,0
"The building which was under bridges, which were blocking rains, [MASK] the future presidential office.",was,were,1,0,correct,1,tensor(0.4933),tensor(0.0006),was,"['was', 'housed', 'became', 'is', 'contained']","[tensor(0.4933), tensor(0.2911), tensor(0.0988), tensor(0.0143), tensor(0.0126)]",1,0,1,0
"The men who ran straight forward to a gym, which was owned by one of them, [MASK] athlethes.",were,was,0,1,correct,1,tensor(0.7801),tensor(0.0049),were,"['were', 'had', 'the', 'became', 'are']","[tensor(0.7801), tensor(0.0321), tensor(0.0182), tensor(0.0153), tensor(0.0127)]",1,0,1,0
"The animals which were sleeping in the park, which was marked as a wild terrotory, [MASK] ferious.",were,was,0,1,correct,1,tensor(0.6938),tensor(0.0353),were,"['were', 'became', 'looked', 'seemed', 'was']","[tensor(0.6938), tensor(0.0675), tensor(0.0516), tensor(0.0387), tensor(0.0353)]",1,0,1,1
"The hunter who shot the lions, which were accentally released by the zookeepers, [MASK] tall.",was,were,1,0,correct,1,tensor(0.7326),tensor(0.0108),was,"['was', 'stood', 'is', 'grew', 'stands']","[tensor(0.7326), tensor(0.1002), tensor(0.0762), tensor(0.0132), tensor(0.0130)]",1,0,1,0
"The vases which were made by the company, that was in a forest, [MASK] making waves in the market.",were,was,0,1,correct,1,tensor(0.4317),tensor(0.0447),were,"['were', 'started', 'are', 'began', 'was']","[tensor(0.4317), tensor(0.2909), tensor(0.1138), tensor(0.0534), tensor(0.0447)]",1,0,1,1
"The sheep which migrated to another prairie, which was close to a lake, [MASK] enjoying the grass.",were,was,0,1,correct,1,tensor(0.6476),tensor(0.0959),were,"['were', 'was', 'began', 'started', 'enjoyed']","[tensor(0.6476), tensor(0.0959), tensor(0.0516), tensor(0.0488), tensor(0.0383)]",1,0,1,1
"The doctor who treated these patients, who were in serious injuries, [MASK] awareded a prize.",was,were,1,0,correct,1,tensor(0.6662),tensor(0.0227),was,"['was', 'is', 'became', 'had', 'were']","[tensor(0.6662), tensor(0.0625), tensor(0.0451), tensor(0.0363), tensor(0.0227)]",1,0,1,1
